127.0.0.1 - - [12/Apr/2017:19:54:46 +0200] "GET / HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [12/Apr/2017:19:54:48 +0200] "GET /PROXI_V2/ HTTP/1.1" 200 1277
0:0:0:0:0:0:0:1 - - [12/Apr/2017:19:54:48 +0200] "GET /PROXI_V2/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [12/Apr/2017:19:54:48 +0200] "GET /PROXI_V2/css/signin.css HTTP/1.1" 200 793
0:0:0:0:0:0:0:1 - - [12/Apr/2017:19:54:48 +0200] "GET /PROXI_V2/js/jquery.min.js HTTP/1.1" 200 97163
0:0:0:0:0:0:0:1 - - [12/Apr/2017:19:54:48 +0200] "GET /PROXI_V2/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [12/Apr/2017:19:56:25 +0200] "GET /PROXI_V2/ HTTP/1.1" 200 1277
0:0:0:0:0:0:0:1 - - [12/Apr/2017:19:56:25 +0200] "GET /PROXI_V2/css/signin.css HTTP/1.1" 200 793
0:0:0:0:0:0:0:1 - - [12/Apr/2017:19:56:25 +0200] "GET /PROXI_V2/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [12/Apr/2017:19:56:25 +0200] "GET /PROXI_V2/js/jquery.min.js HTTP/1.1" 200 97163
0:0:0:0:0:0:0:1 - - [12/Apr/2017:19:56:25 +0200] "GET /PROXI_V2/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [12/Apr/2017:19:56:25 +0200] "GET /favicon.ico HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [12/Apr/2017:20:07:15 +0200] "POST /PROXI_V2/LoginServlet HTTP/1.1" 200 1397
0:0:0:0:0:0:0:1 - - [12/Apr/2017:20:07:15 +0200] "GET /PROXI_V2/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:20:07:15 +0200] "GET /PROXI_V2/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:20:07:15 +0200] "GET /PROXI_V2/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:20:07:15 +0200] "GET /PROXI_V2/css/signin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:20:18:15 +0200] "POST /PROXI_V2/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:20:18:16 +0200] "GET /PROXI_V2/ListerClients HTTP/1.1" 200 3668
0:0:0:0:0:0:0:1 - - [12/Apr/2017:20:18:16 +0200] "GET /PROXI_V2/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:20:18:16 +0200] "GET /PROXI_V2/css/starter-template.css HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [12/Apr/2017:20:18:16 +0200] "GET /PROXI_V2/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:20:18:16 +0200] "GET /PROXI_V2/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:20:18:26 +0200] "GET /PROXI_V2/AfficherClient?id=3 HTTP/1.1" 200 3704
0:0:0:0:0:0:0:1 - - [12/Apr/2017:20:44:14 +0200] "GET /PROXI_V2/Virement?idclient=3&idcompte=1 HTTP/1.1" 200 3653
0:0:0:0:0:0:0:1 - - [12/Apr/2017:20:44:14 +0200] "GET /PROXI_V2/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:20:44:14 +0200] "GET /PROXI_V2/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:20:44:14 +0200] "GET /PROXI_V2/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:20:44:14 +0200] "GET /PROXI_V2/css/starter-template.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:20:44:27 +0200] "POST /PROXI_V2/EffectuerVirement HTTP/1.1" 200 3802
0:0:0:0:0:0:0:1 - - [12/Apr/2017:20:44:39 +0200] "GET /PROXI_V2/Virement?idclient=3&idcompte=1 HTTP/1.1" 200 3653
0:0:0:0:0:0:0:1 - - [12/Apr/2017:20:44:59 +0200] "POST /PROXI_V2/EffectuerVirement HTTP/1.1" 200 3811
0:0:0:0:0:0:0:1 - - [12/Apr/2017:20:45:11 +0200] "GET /PROXI_V2/ListerClients HTTP/1.1" 200 3668
0:0:0:0:0:0:0:1 - - [12/Apr/2017:20:45:26 +0200] "GET /PROXI_V2/LogoutServlet HTTP/1.1" 200 1379
0:0:0:0:0:0:0:1 - - [12/Apr/2017:20:45:26 +0200] "GET /PROXI_V2/css/signin.css HTTP/1.1" 304 -
